author,n,min,avg,std,max,mine
0,50,77,1375.14,1096.7,4238,77
0,100,1228,15770.14,12418.28,55244,1228
0,150,280,55187.36,57722.67,235578,280
0,200,235,125644.21,121397.12,519906,235
0,250,1053,231093.86,210418.9,871853,1053
0,300,641,405480.5,434822.89,1826720,641
0,350,4116,639831.29,716948.52,3032225,4116
0,400,1336,882409.14,998088.63,4210463,1336
0,450,497,1137419.36,1706446.37,6918686,498
0,500,10335,1758173.93,2220407.47,9164227,10335
1,50,53,151.64,64.53,259,56
1,100,4733,6694.07,929.94,7579,4733
1,150,27702,34669.36,4942.93,40802,27702
1,200,58489,73709.36,9430.61,85112,58489
1,250,133610,166968.29,25415.22,197657,133610
1,300,253059,302151.79,39682.9,351957,253059
1,350,417278,490613.64,58449.51,559568,417278
1,400,623493,723237.14,82688.61,824743,623493
1,450,932791,1070659.21,124330.15,1226042,932791
1,500,1270182,1486202.93,194964.61,1724436,1270182
2,50,7333,7449.64,94.42,7564,7352
2,100,39232,39784.57,416.96,40310,39232
2,150,102932,104235.5,1017.15,105549,102932
2,200,213779,215952.5,1715.66,218104,213779
2,250,153133,157240.21,3160.19,161191,153599
2,300,675402,680018.5,3672.08,684469,675402
2,350,500980,507710,5291.92,514332,500980
2,400,1213078,1221937.43,7368.6,1231084,1213078
2,450,613039,623860.5,8759.03,634831,613039
2,500,1581273,1595289.21,12254.49,1610435,1581273
3,50,0,16.21,28.41,95,0
3,100,0,99,202.42,751,0
3,150,89,252.21,130.13,531,89
3,200,0,91.79,144.06,472,0
3,250,0,248,662.79,2496,0
3,300,0,78.93,141.68,510,0
3,350,68848,83841.71,12713.38,107863,68848
3,400,0,250.07,"406,00",1400,0
3,450,10,3566.57,7148.64,21159,10
3,500,1161,5583.29,3935.1,13255,1260
4,50,40,113.14,75.82,243,49
4,100,155,361.07,193.62,739,155
4,150,251,527.36,270.07,1177,251
4,200,304,754.57,499.21,1882,322
4,250,382,1139.29,859.43,3078,414
4,300,593,1380.29,945.57,3637,593
4,350,613,1864,1623.58,6322,613
4,400,712,2103.14,2032.84,8250,712
4,450,1106,2587.57,2031.27,7998,1106
4,500,1198,3132.21,2412.32,8828,1198
5,50,36,65,"44Â 100,00",126,36
5,100,402,607.71,210.32,1097,402
5,150,579,1330.36,757.46,3468,579
5,200,10620,11968.64,808.71,13816,10620
5,250,13643,16580.5,1912.05,20526,13643
5,300,5929,9709.57,3173.71,16487,5929
5,350,25105,32343.86,5007.39,41526,25105
5,400,24056,32655.79,9170.43,55854,24056
5,450,31635,42503,11336.94,67616,31635
5,500,12156,21342.43,10359.35,47025,12156
6,50,2320,23949.36,51755.07,202085,2320
6,100,1103,63397.21,189712.62,721829,1103
6,150,5813,179904.64,473102.16,1819048,5813
6,200,2452,302711.07,906554.28,3448986,2452
6,250,1537,528742.64,1615198.03,6137406,1537
6,300,155,716812.14,2289675.08,8664881,155
6,350,680,916073.07,3089103.08,11645694,680
6,400,1131,1324355.79,3927437.69,14955560,1131
6,450,32880,1805790.07,5061235.73,19374768,32880
6,500,526,1920941.71,6012050.64,22795516,526
7,50,910,1769,2123.78,9119,910
7,100,8282,14189.57,16246.42,70559,8282
7,150,39039,57427,56956.7,255238,39061
7,200,80493,91949.43,5374.29,97855,80493
7,250,167939,200461.36,80837.41,480804,167939
7,300,245135,300015.86,139887.01,784688,245135
7,350,443690,532707.57,225661.08,1314497,443690
7,400,713917,1051390.43,1095704.95,4856850,713917
7,450,829978,1054306.29,482258.44,2716024,829978
7,500,1449005,1672940.36,690263.47,4067317,1449005
8,50,7500,7643.29,241.14,8236,7519
8,100,16100,16324.57,313.72,16914,16100
8,150,23661,24078.21,483.3,25022,23674
8,200,33721,34122.57,505.42,35145,33721
8,250,44134,44790.5,596.9,45927,44205
8,300,52109,53263,964.93,54697,52109
8,350,60937,62948.57,1498.35,67365,60937
8,400,71593,73054.71,1420.89,75239,71593
8,450,79062,80092.21,1114.25,81972,79062
8,500,89675,90869.14,1299.67,94671,90205
9,50,18016,19781.43,1783.53,22450,18358
9,100,78699,88354.21,9637.71,101372,79382
9,150,185954,205757.71,18879.88,229422,185954
9,200,354200,383111.07,26573.34,415831,354200
9,250,559261,595501.79,34510.1,638641,559261
9,300,839880,892485.93,48338.43,950662,839880
9,350,1159759,1221805,55679.75,1288879,1159759
9,400,1535932,1600571.29,60822.07,1672828,1535932
9,450,1869911,1951424,70848.06,2036198,1869911
9,500,2474557,2556107.07,76638.07,2647735,2474557
10,50,60,902,2829.82,10728,60
10,100,235,3664.43,11820.04,44719,235
10,150,375,7433.79,25074.57,94540,441
10,200,650,13520.21,45899.57,172974,650
10,250,779,20617.93,70826.16,266661,779
10,300,1183,30996,106712.28,401716,1183
10,350,1491,40534.43,140249.81,527774,1491
10,400,1743,54015.14,187971.71,707045,1859
10,450,2250,68080.14,239303.67,899478,2250
10,500,2338,86066.64,299983.92,1128228,2338
11,50,68,3770.86,13343.03,50122,68
11,100,596,8232.36,26671.88,100824,596
11,150,297,12076.5,39929.9,150549,297
11,200,355,16217,53251.41,200541,355
11,250,1338,182605.93,667558.04,2501836,1338
11,300,1818,219904.36,800965.49,3002535,1818
11,350,1081,255673,934361.16,3501632,1081
11,400,1979,294099.07,1067567.6,4002657,1979
11,450,3707,333126.5,1200942.94,4504865,3707
11,500,2809,368888.14,1334282.34,5003647,2809
12,50,33,157,51.46,210,33
12,100,1298,1846.86,224.55,2081,1298
12,150,1580,2054.86,207.56,2297,1580
12,200,8778,10107.36,912.97,11614,8778
12,250,5660,6685.79,437.34,7112,5660
12,300,26041,28456.14,1356.07,30390,26041
12,350,47474,50305.14,1477.48,52487,47474
12,400,45900,49818.64,2818.4,53998,45900
12,450,44557,47180.64,1143.49,48716,44557
12,500,50894,54000.14,1592.96,56392,50894
13,50,10,66.79,63.31,228,12
13,100,289,1180.43,805.03,3220,318
13,150,984,3923.86,2271.06,8975,984
13,200,2023,7187.5,5058.73,17293,2023
13,250,18270,31672.64,10503.86,54909,18270
13,300,77385,93322.07,7285.23,105060,77385
13,350,171150,200087.36,19186.93,242095,171150
13,400,18944,49205.07,26682.44,116840,18944
13,450,386417,425722.07,17600.95,446433,386417
13,500,1203508,1270500.07,29361.58,1305937,1203508
